X1,parameter,site,site_id,subsite,subsite_id,series,series_id,lat,lon,depth,serial_num,from_date,thru_date,time,uncal_val,cal_val,qc_val,qc_flag,parameter_id,date,mean_SST
0,Water Temperature,Scott Reef,1098,SCOTTNR1,13275,SCOTTNR1,13275,-13.9851,121.8769,7.4,SU-11380,2012-10-28,2014-10-19,2012-10-29T00:06:05Z,29.38,29.3058,29.3058,1,1,2012-10-29,29.323555555555554
144,Water Temperature,Scott Reef,1098,SCOTTNR1,13275,SCOTTNR1,13275,-13.9851,121.8769,7.4,SU-11380,2012-10-28,2014-10-19,2012-10-30T00:06:05Z,29.17,29.0973,29.0973,1,1,2012-10-30,29.146876388888888
288,Water Temperature,Scott Reef,1098,SCOTTNR1,13275,SCOTTNR1,13275,-13.9851,121.8769,7.4,SU-11380,2012-10-28,2014-10-19,2012-10-31T00:06:05Z,29.39,29.3157,29.3157,1,1,2012-10-31,29.107375
432,Water Temperature,Scott Reef,1098,SCOTTNR1,13275,SCOTTNR1,13275,-13.9851,121.8769,7.4,SU-11380,2012-10-28,2014-10-19,2012-11-01T00:06:05Z,29.35,29.276,29.276,1,1,2012-11-01,29.1779
576,Water Temperature,Scott Reef,1098,SCOTTNR1,13275,SCOTTNR1,13275,-13.9851,121.8769,7.4,SU-11380,2012-10-28,2014-10-19,2012-11-02T00:06:05Z,29.47,29.3951,29.3951,1,1,2012-11-02,29.16562777777778
720,Water Temperature,Scott Reef,1098,SCOTTNR1,13275,SCOTTNR1,13275,-13.9851,121.8769,7.4,SU-11380,2012-10-28,2014-10-19,2012-11-03T00:06:05Z,29.36,29.2859,29.2859,1,1,2012-11-03,29.20519375
864,Water Temperature,Scott Reef,1098,SCOTTNR1,13275,SCOTTNR1,13275,-13.9851,121.8769,7.4,SU-11380,2012-10-28,2014-10-19,2012-11-04T00:06:05Z,29.39,29.3157,29.3157,1,1,2012-11-04,29.271372916666667
1008,Water Temperature,Scott Reef,1098,SCOTTNR1,13275,SCOTTNR1,13275,-13.9851,121.8769,7.4,SU-11380,2012-10-28,2014-10-19,2012-11-05T00:06:05Z,29.36,29.2859,29.2859,1,1,2012-11-05,29.218563194444446
1152,Water Temperature,Scott Reef,1098,SCOTTNR1,13275,SCOTTNR1,13275,-13.9851,121.8769,7.4,SU-11380,2012-10-28,2014-10-19,2012-11-06T00:06:05Z,29.39,29.3157,29.3157,1,1,2012-11-06,29.311624305555554
1296,Water Temperature,Scott Reef,1098,SCOTTNR1,13275,SCOTTNR1,13275,-13.9851,121.8769,7.4,SU-11380,2012-10-28,2014-10-19,2012-11-07T00:06:05Z,29.43,29.3554,29.3554,1,1,2012-11-07,29.40214375
