X1,parameter,site,site_id,subsite,subsite_id,series,series_id,lat,lon,depth,serial_num,from_date,thru_date,time,uncal_val,cal_val,qc_val,qc_flag,parameter_id,date,mean_SST
0,Water Temperature,Scott Reef,1098,SCOTT_SS3,12035,SCOTT_SS3,12035,-13.6369,122.0267,9.3,SU-11375,2012-11-13,2014-10-12,2012-11-14T00:08:01Z,29.42,29.3145,29.3145,2,1,2012-11-14,29.57792361111111
144,Water Temperature,Scott Reef,1098,SCOTT_SS3,12035,SCOTT_SS3,12035,-13.6369,122.0267,9.3,SU-11375,2012-11-13,2014-10-12,2012-11-15T00:08:01Z,29.75,29.6452,29.6452,1,1,2012-11-15,29.832528472222222
288,Water Temperature,Scott Reef,1098,SCOTT_SS3,12035,SCOTT_SS3,12035,-13.6369,122.0267,9.3,SU-11375,2012-11-13,2014-10-12,2012-11-16T00:08:01Z,30.04,29.9359,29.9359,1,1,2012-11-16,30.15075763888889
432,Water Temperature,Scott Reef,1098,SCOTT_SS3,12035,SCOTT_SS3,12035,-13.6369,122.0267,9.3,SU-11375,2012-11-13,2014-10-12,2012-11-17T00:08:01Z,30.5,30.3969,30.3969,1,1,2012-11-17,30.215909027777776
576,Water Temperature,Scott Reef,1098,SCOTT_SS3,12035,SCOTT_SS3,12035,-13.6369,122.0267,9.3,SU-11375,2012-11-13,2014-10-12,2012-11-18T00:08:01Z,30.36,30.2566,30.2566,2,1,2012-11-18,29.87944166666667
720,Water Temperature,Scott Reef,1098,SCOTT_SS3,12035,SCOTT_SS3,12035,-13.6369,122.0267,9.3,SU-11375,2012-11-13,2014-10-12,2012-11-19T00:08:01Z,30.51,30.407,30.407,1,1,2012-11-19,30.37654861111111
864,Water Temperature,Scott Reef,1098,SCOTT_SS3,12035,SCOTT_SS3,12035,-13.6369,122.0267,9.3,SU-11375,2012-11-13,2014-10-12,2012-11-20T00:08:01Z,29.99,29.8858,29.8858,1,1,2012-11-20,30.12222152777778
1008,Water Temperature,Scott Reef,1098,SCOTT_SS3,12035,SCOTT_SS3,12035,-13.6369,122.0267,9.3,SU-11375,2012-11-13,2014-10-12,2012-11-21T00:08:01Z,30.47,30.3669,30.3669,1,1,2012-11-21,30.3457875
1152,Water Temperature,Scott Reef,1098,SCOTT_SS3,12035,SCOTT_SS3,12035,-13.6369,122.0267,9.3,SU-11375,2012-11-13,2014-10-12,2012-11-22T00:08:01Z,30.62,30.5172,30.5172,2,1,2012-11-22,30.559475
1296,Water Temperature,Scott Reef,1098,SCOTT_SS3,12035,SCOTT_SS3,12035,-13.6369,122.0267,9.3,SU-11375,2012-11-13,2014-10-12,2012-11-23T00:08:01Z,30.64,30.5373,30.5373,1,1,2012-11-23,30.31056597222222
1440,Water Temperature,Scott Reef,1098,SCOTT_SS3,12035,SCOTT_SS3,12035,-13.6369,122.0267,9.3,SU-11375,2012-11-13,2014-10-12,2012-11-24T00:08:01Z,30.78,30.6776,30.6776,2,1,2012-11-24,30.412748611111112
1584,Water Temperature,Scott Reef,1098,SCOTT_SS3,12035,SCOTT_SS3,12035,-13.6369,122.0267,9.3,SU-11375,2012-11-13,2014-10-12,2012-11-25T00:08:01Z,30.25,30.1464,30.1464,1,1,2012-11-25,30.144985416666668
1728,Water Temperature,Scott Reef,1098,SCOTT_SS3,12035,SCOTT_SS3,12035,-13.6369,122.0267,9.3,SU-11375,2012-11-13,2014-10-12,2012-11-26T00:08:01Z,30.51,30.407,30.407,2,1,2012-11-26,30.692690972222223
1872,Water Temperature,Scott Reef,1098,SCOTT_SS3,12035,SCOTT_SS3,12035,-13.6369,122.0267,9.3,SU-11375,2012-11-13,2014-10-12,2012-11-27T00:08:01Z,30.67,30.5673,30.5673,1,1,2012-11-27,30.368196527777776
2016,Water Temperature,Scott Reef,1098,SCOTT_SS3,12035,SCOTT_SS3,12035,-13.6369,122.0267,9.3,SU-11375,2012-11-13,2014-10-12,2012-11-28T00:08:01Z,29.53,29.4247,29.4247,1,1,2012-11-28,30.249313194444444
2160,Water Temperature,Scott Reef,1098,SCOTT_SS3,12035,SCOTT_SS3,12035,-13.6369,122.0267,9.3,SU-11375,2012-11-13,2014-10-12,2012-11-29T00:08:01Z,30.02,29.9158,29.9158,2,1,2012-11-29,30.277089583333332
2304,Water Temperature,Scott Reef,1098,SCOTT_SS3,12035,SCOTT_SS3,12035,-13.6369,122.0267,9.3,SU-11375,2012-11-13,2014-10-12,2012-11-30T00:08:01Z,30.27,30.1664,30.1664,1,1,2012-11-30,30.357129861111112
2448,Water Temperature,Scott Reef,1098,SCOTT_SS3,12035,SCOTT_SS3,12035,-13.6369,122.0267,9.3,SU-11375,2012-11-13,2014-10-12,2012-12-01T00:08:01Z,30.6,30.4972,30.4972,1,1,2012-12-01,30.449492361111112
