X1,parameter,site,site_id,subsite,subsite_id,series,series_id,lat,lon,depth,serial_num,from_date,thru_date,time,uncal_val,cal_val,qc_val,qc_flag,parameter_id,date,mean_SST
0,Water Temperature,Ningaloo Reef,8,TANTABIDDI_SL1,14856,TANTABIDDI_SL1,14856,-21.8898,113.9519,7,358505,2018-02-08,2020-02-21,2018-02-09T00:00:00Z,21.39,21.3969,21.3969,1,1,2018-02-09,21.3969
144,Water Temperature,Ningaloo Reef,8,TANTABIDDI_SL1,14856,TANTABIDDI_SL1,14856,-21.8898,113.9519,7,358505,2018-02-08,2020-02-21,2018-02-10T00:00:00Z,20.74,20.7468,20.7468,1,1,2018-02-10,20.7468
288,Water Temperature,Ningaloo Reef,8,TANTABIDDI_SL1,14856,TANTABIDDI_SL1,14856,-21.8898,113.9519,7,358505,2018-02-08,2020-02-21,2018-02-11T00:00:00Z,20.75,20.7568,20.7568,1,1,2018-02-11,20.7568
432,Water Temperature,Ningaloo Reef,8,TANTABIDDI_SL1,14856,TANTABIDDI_SL1,14856,-21.8898,113.9519,7,358505,2018-02-08,2020-02-21,2018-02-12T00:00:00Z,21.04,21.0469,21.0469,1,1,2018-02-12,21.0469
576,Water Temperature,Ningaloo Reef,8,TANTABIDDI_SL1,14856,TANTABIDDI_SL1,14856,-21.8898,113.9519,7,358505,2018-02-08,2020-02-21,2018-02-13T00:00:00Z,21.05,21.0569,21.0569,1,1,2018-02-13,21.0569
720,Water Temperature,Ningaloo Reef,8,TANTABIDDI_SL1,14856,TANTABIDDI_SL1,14856,-21.8898,113.9519,7,358505,2018-02-08,2020-02-21,2018-02-14T00:00:00Z,24.42,24.4278,24.4278,2,1,2018-02-14,24.4278
864,Water Temperature,Ningaloo Reef,8,TANTABIDDI_SL1,14856,TANTABIDDI_SL1,14856,-21.8898,113.9519,7,358505,2018-02-08,2020-02-21,2018-02-15T00:00:00Z,29.27,29.279,29.279,2,1,2018-02-15,29.279
1008,Water Temperature,Ningaloo Reef,8,TANTABIDDI_SL1,14856,TANTABIDDI_SL1,14856,-21.8898,113.9519,7,358505,2018-02-08,2020-02-21,2018-02-16T00:00:00Z,29.14,29.149,29.149,1,1,2018-02-16,29.149
1152,Water Temperature,Ningaloo Reef,8,TANTABIDDI_SL1,14856,TANTABIDDI_SL1,14856,-21.8898,113.9519,7,358505,2018-02-08,2020-02-21,2018-02-17T00:00:00Z,27.31,27.3185,27.3185,1,1,2018-02-17,27.3185
1296,Water Temperature,Ningaloo Reef,8,TANTABIDDI_SL1,14856,TANTABIDDI_SL1,14856,-21.8898,113.9519,7,358505,2018-02-08,2020-02-21,2018-02-18T00:00:00Z,26.63,26.6383,26.6383,1,1,2018-02-18,26.6383
