sst,Latitude,Longitude,Date,Data_Type,Site,Reef_Site,mmm_climatology,mmm_climatology_as_at,hotspot,degree_heating_day_mmm_climatology,degree_heating_week_mmm_climatology,year,mmm_from_sst,mmm_from_sst_year_range,degree_heating_day_mmm_from_sst,degree_heating_week_mmm_from_sst,dhw_threshold,DHW_value,accum_DHW_12weeks
27.25,-12.095,96.8805,1985-01-01,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,-0.44647427035330267,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
27.2,-12.095,96.8805,1985-01-02,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,-0.4964742703533034,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
27.18,-12.095,96.8805,1985-01-03,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,-0.516474270353303,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
27.22,-12.095,96.8805,1985-01-04,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,-0.4764742703533038,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
27.27,-12.095,96.8805,1985-01-05,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,-0.4264742703533031,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
28.27,-12.095,96.8805,1985-01-06,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,0.5735257296466969,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
27.95,-12.095,96.8805,1985-01-07,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,0.2535257296466966,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
27.75,-12.095,96.8805,1985-01-08,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,0.05352572964669733,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
27.98,-12.095,96.8805,1985-01-09,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,0.28352572964669776,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
27.98,-12.095,96.8805,1985-01-10,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,0.28352572964669776,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
27.9,-12.095,96.8805,1985-01-11,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,0.2035257296466959,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
