sst,Latitude,Longitude,Date,site,subsite,mmm_climatology,mmm_climatology_as_at,hotspot,degree_heating_day_mmm_climatology,degree_heating_week_mmm_climatology,year,mmm_from_sst,mmm_from_sst_year_range,degree_heating_day_mmm_from_sst,degree_heating_week_mmm_from_sst,dhw_threshold,DHW_value,accum_DHW_12weeks
29.7,-14.0237,121.8604,1985-01-06,Scott Reef,SCOTT_SL4,29.679999336600304,2019-01-01,0.7644276753712234,0,0,1990,28.935572324628776,1985_to_1990,0,0,1,0,0
29.76,-14.0237,121.8604,1985-01-07,Scott Reef,SCOTT_SL4,29.679999336600304,2019-01-01,0.8244276753712256,0,0,1990,28.935572324628776,1985_to_1990,0,0,1,0,0
29.66,-14.0237,121.8604,1985-01-08,Scott Reef,SCOTT_SL4,29.679999336600304,2019-01-01,0.7244276753712242,0,0,1990,28.935572324628776,1985_to_1990,0,0,1,0,0
29.74,-14.0237,121.8604,1985-01-09,Scott Reef,SCOTT_SL4,29.679999336600304,2019-01-01,0.8044276753712225,0,0,1990,28.935572324628776,1985_to_1990,0,0,1,0,0
30.02,-14.0237,121.8604,1985-01-10,Scott Reef,SCOTT_SL4,29.679999336600304,2019-01-01,1.0844276753712236,0,0,1990,28.935572324628776,1985_to_1990,1.0844276753712236,0.15491823933874624,1,1.1549182393387463,0
30.19,-14.0237,121.8604,1985-01-11,Scott Reef,SCOTT_SL4,29.679999336600304,2019-01-01,1.2544276753712253,0,0,1990,28.935572324628776,1985_to_1990,1.2544276753712253,0.17920395362446076,1,1.1792039536244607,0
29.6,-14.0237,121.8604,1985-01-12,Scott Reef,SCOTT_SL4,29.679999336600304,2019-01-01,0.6644276753712255,0,0,1990,28.935572324628776,1985_to_1990,0,0,1,0,0
29.15,-14.0237,121.8604,1985-01-13,Scott Reef,SCOTT_SL4,29.679999336600304,2019-01-01,0.21442767537122265,0,0,1990,28.935572324628776,1985_to_1990,0,0,1,0,0
29.35,-14.0237,121.8604,1985-01-14,Scott Reef,SCOTT_SL4,29.679999336600304,2019-01-01,0.4144276753712255,0,0,1990,28.935572324628776,1985_to_1990,0,0,1,0,0
29.91,-14.0237,121.8604,1985-01-15,Scott Reef,SCOTT_SL4,29.679999336600304,2019-01-01,0.9744276753712242,0,0,1990,28.935572324628776,1985_to_1990,0,0,1,0,0
