sst,Latitude,Longitude,Date,site,subsite,mmm_climatology,mmm_climatology_as_at,hotspot,degree_heating_day_mmm_climatology,DHW_value,year,mmm_from_sst,mmm_from_sst_year_range,degree_heating_day_mmm_from_sst,degree_heating_week_mmm_from_sst,dhw_threshold,accum_DHW_12weeks
29.69,-14.0574,121.783,1985-01-06,Scott Reef,SCOTT_RPO_1,29.689999336376786,2019-01-01,0.7553190604198683,0,0,1990,28.934680939580133,1985_to_1990,0,0,1,0
29.76,-14.0574,121.783,1985-01-07,Scott Reef,SCOTT_RPO_1,29.689999336376786,2019-01-01,0.8253190604198686,0,0,1990,28.934680939580133,1985_to_1990,0,0,1,0
29.65,-14.0574,121.783,1985-01-08,Scott Reef,SCOTT_RPO_1,29.689999336376786,2019-01-01,0.7153190604198656,0,0,1990,28.934680939580133,1985_to_1990,0,0,1,0
29.72,-14.0574,121.783,1985-01-09,Scott Reef,SCOTT_RPO_1,29.689999336376786,2019-01-01,0.7853190604198659,0,0,1990,28.934680939580133,1985_to_1990,0,0,1,0
29.99,-14.0574,121.783,1985-01-10,Scott Reef,SCOTT_RPO_1,29.689999336376786,2019-01-01,1.0553190604198655,0,0,1990,28.934680939580133,1985_to_1990,1.0553190604198655,0.1507598657742665,1,0
30.14,-14.0574,121.783,1985-01-11,Scott Reef,SCOTT_RPO_1,29.689999336376786,2019-01-01,1.2053190604198676,0,0,1990,28.934680939580133,1985_to_1990,1.2053190604198676,0.17218843720283822,1,0
29.55,-14.0574,121.783,1985-01-12,Scott Reef,SCOTT_RPO_1,29.689999336376786,2019-01-01,0.6153190604198677,0,0,1990,28.934680939580133,1985_to_1990,0,0,1,0
29.11,-14.0574,121.783,1985-01-13,Scott Reef,SCOTT_RPO_1,29.689999336376786,2019-01-01,0.17531906041986645,0,0,1990,28.934680939580133,1985_to_1990,0,0,1,0
29.32,-14.0574,121.783,1985-01-14,Scott Reef,SCOTT_RPO_1,29.689999336376786,2019-01-01,0.3853190604198673,0,0,1990,28.934680939580133,1985_to_1990,0,0,1,0
29.93,-14.0574,121.783,1985-01-15,Scott Reef,SCOTT_RPO_1,29.689999336376786,2019-01-01,0.9953190604198667,0,0,1990,28.934680939580133,1985_to_1990,0,0,1,0
29.94,-14.0574,121.783,1985-01-16,Scott Reef,SCOTT_RPO_1,29.689999336376786,2019-01-01,1.0053190604198683,0,0,1990,28.934680939580133,1985_to_1990,1.0053190604198683,0.14361700863140975,1,0
29.95,-14.0574,121.783,1985-01-17,Scott Reef,SCOTT_RPO_1,29.689999336376786,2019-01-01,1.0153190604198663,0,0,1990,28.934680939580133,1985_to_1990,1.0153190604198663,0.1450455800599809,1,0
29.68,-14.0574,121.783,1985-01-18,Scott Reef,SCOTT_RPO_1,29.689999336376786,2019-01-01,0.7453190604198667,0,0,1990,28.934680939580133,1985_to_1990,0,0,1,0
29.06,-14.0574,121.783,1985-01-19,Scott Reef,SCOTT_RPO_1,29.689999336376786,2019-01-01,0.12531906041986574,0,0,1990,28.934680939580133,1985_to_1990,0,0,1,0
29.01,-14.0574,121.783,1985-01-20,Scott Reef,SCOTT_RPO_1,29.689999336376786,2019-01-01,0.07531906041986858,0,0,1990,28.934680939580133,1985_to_1990,0,0,1,0
29.03,-14.0574,121.783,1985-01-21,Scott Reef,SCOTT_RPO_1,29.689999336376786,2019-01-01,0.09531906041986815,0,0,1990,28.934680939580133,1985_to_1990,0,0,1,0
